,L,max_stay_counter,m,n,quench,ITC
0,6,6,0.01,0.1,0.1,229.696581882
1,6,6,0.01,0.1,0.2,232.01878544399997
2,6,6,0.01,0.1,0.3,232.040737728
3,6,6,0.01,0.1,0.4,230.093434944
4,6,6,0.01,0.1,0.5,231.52572689399997
5,6,6,0.01,0.1,0.65,230.402705322
6,6,6,0.01,0.1,0.8,231.79669298399998
7,6,6,0.01,0.1,1.0,231.12513534
8,6,6,0.01,0.1,2.0,229.96934467200003
9,6,6,0.01,0.2,0.1,232.521095304
10,6,6,0.01,0.2,0.2,226.72569978599998
11,6,6,0.01,0.2,0.3,232.366028568
12,6,6,0.01,0.2,0.4,231.18744557399998
13,6,6,0.01,0.2,0.5,234.111265656
14,6,6,0.01,0.2,0.65,230.402830752
15,6,6,0.01,0.2,0.8,231.93371678399998
16,6,6,0.01,0.2,1.0,229.36732609799998
17,6,6,0.01,0.2,2.0,233.20822389600002
18,6,6,0.01,0.3,0.1,230.00208393600002
19,6,6,0.01,0.3,0.2,233.917731912
20,6,6,0.01,0.3,0.3,231.236336154
21,6,6,0.01,0.3,0.4,230.48101906800002
22,6,6,0.01,0.3,0.5,231.96148020599998
23,6,6,0.01,0.3,0.65,231.78936244800002
24,6,6,0.01,0.3,0.8,228.866740392
25,6,6,0.01,0.3,1.0,230.152335516
26,6,6,0.01,0.3,2.0,231.73734832199997
27,6,6,0.01,0.4,0.1,228.31972727999997
28,6,6,0.01,0.4,0.2,233.21790912600002
29,6,6,0.01,0.4,0.3,234.46758720000003
30,6,6,0.01,0.4,0.4,229.091320434
31,6,6,0.01,0.4,0.5,230.01585343800002
32,6,6,0.01,0.4,0.65,231.91122481199997
33,6,6,0.01,0.4,0.8,232.21972566000005
34,6,6,0.01,0.4,1.0,230.17935991800002
35,6,6,0.01,0.4,2.0,231.69663848999997
36,6,6,0.01,0.5,0.1,228.03464184
37,6,6,0.01,0.5,0.2,231.376663848
38,6,6,0.01,0.5,0.3,230.27468875199997
39,6,6,0.01,0.5,0.4,231.89982627600003
40,6,6,0.01,0.5,0.5,234.438633888
41,6,6,0.01,0.5,0.65,233.73029406600003
42,6,6,0.01,0.5,0.8,230.40817745999996
43,6,6,0.01,0.5,1.0,232.130540184
44,6,6,0.01,0.5,2.0,226.42437353400004
45,6,6,0.01,0.6,0.1,228.86573830799998
46,6,6,0.01,0.6,0.2,231.675059784
47,6,6,0.01,0.6,0.3,230.430834186
48,6,6,0.01,0.6,0.4,232.63271376599997
49,6,6,0.01,0.6,0.5,230.491457556
50,6,6,0.01,0.6,0.65,231.54397594199997
51,6,6,0.01,0.6,0.8,232.745821794
52,6,6,0.01,0.6,1.0,232.877854836
53,6,6,0.01,0.6,2.0,231.98027233200003
54,6,6,0.01,0.7,0.1,228.84561798
55,6,6,0.01,0.7,0.2,230.860690932
56,6,6,0.01,0.7,0.3,234.17875919999997
57,6,6,0.01,0.7,0.4,232.44195372
58,6,6,0.01,0.7,0.5,232.20820915200002
59,6,6,0.01,0.7,0.65,231.44500895999997
60,6,6,0.01,0.7,0.8,232.43801996399998
61,6,6,0.01,0.7,1.0,233.15774272800002
62,6,6,0.01,0.7,2.0,233.27213014199998
63,6,6,0.01,0.8,0.1,231.366410454
64,6,6,0.01,0.8,0.2,231.74409035399995
65,6,6,0.01,0.8,0.3,232.295596572
66,6,6,0.01,0.8,0.4,230.86923373200003
67,6,6,0.01,0.8,0.5,231.832098822
68,6,6,0.01,0.8,0.65,230.810016534
69,6,6,0.01,0.8,0.8,231.74262723
70,6,6,0.01,0.8,1.0,231.20190867000002
71,6,6,0.01,0.8,2.0,228.45821217
72,6,6,0.01,0.9,0.1,231.19571785200003
73,6,6,0.01,0.9,0.2,231.391415772
74,6,6,0.01,0.9,0.3,230.132296548
75,6,6,0.01,0.9,0.4,233.41192289399999
76,6,6,0.01,0.9,0.5,232.18112373
77,6,6,0.01,0.9,0.65,234.19695332999999
78,6,6,0.01,0.9,0.8,231.12615437399995
79,6,6,0.01,0.9,1.0,231.21317024999996
80,6,6,0.01,0.9,2.0,232.393735038
81,6,6,0.01,1.0,0.1,232.74264604200002
82,6,6,0.01,1.0,0.2,229.27784975999998
83,6,6,0.01,1.0,0.3,233.951549196
84,6,6,0.01,1.0,0.4,231.48895827599998
85,6,6,0.01,1.0,0.5,232.97884835999997
86,6,6,0.01,1.0,0.65,233.0103957
87,6,6,0.01,1.0,0.8,234.447439074
88,6,6,0.01,1.0,1.0,233.20931751
89,6,6,0.01,1.0,2.0,231.919387254
90,6,6,0.01,1.1,0.1,229.70550571799998
91,6,6,0.01,1.1,0.2,235.731919566
92,6,6,0.01,1.1,0.3,233.61727349999998
93,6,6,0.01,1.1,0.4,229.555729416
94,6,6,0.01,1.1,0.5,231.921385998
95,6,6,0.01,1.1,0.65,231.43742688600003
96,6,6,0.01,1.1,0.8,234.15300537000002
97,6,6,0.01,1.1,1.0,232.259739864
98,6,6,0.01,1.1,2.0,229.48529877599998
99,6,6,0.01,1.2,0.1,230.24275698600002
100,6,6,0.01,1.2,0.2,226.832999388
101,6,6,0.01,1.2,0.3,228.574505442
102,6,6,0.01,1.2,0.4,233.99604158999998
103,6,6,0.01,1.2,0.5,229.08538318799998
104,6,6,0.01,1.2,0.65,231.11778853199996
105,6,6,0.01,1.2,0.8,231.91726986
106,6,6,0.01,1.2,1.0,232.55038083599996
107,6,6,0.01,1.2,2.0,229.77302841600002
108,6,6,0.01,1.3,0.1,230.34664624799998
109,6,6,0.01,1.3,0.2,232.32367323
110,6,6,0.01,1.3,0.3,230.55637334400006
111,6,6,0.01,1.3,0.4,233.61722265
112,6,6,0.01,1.3,0.5,232.04917814999996
113,6,6,0.01,1.3,0.65,232.612119516
114,6,6,0.01,1.3,0.8,230.51794227000002
115,6,6,0.01,1.3,1.0,232.651151298
116,6,6,0.01,1.3,2.0,234.408410004
117,6,6,0.01,1.4,0.1,233.494672794
118,6,6,0.01,1.4,0.2,232.958984316
119,6,6,0.01,1.4,0.3,231.40692027600002
120,6,6,0.01,1.4,0.4,232.89219928199998
121,6,6,0.01,1.4,0.5,230.1829323
122,6,6,0.01,1.4,0.65,228.25803605999997
123,6,6,0.01,1.4,0.8,230.97355555800002
124,6,6,0.01,1.4,1.0,229.30805127
125,6,6,0.01,1.4,2.0,233.689901538
126,6,6,0.01,1.5,0.1,232.357511532
127,6,6,0.01,1.5,0.2,230.01044910000002
128,6,6,0.01,1.5,0.3,232.593129414
129,6,6,0.01,1.5,0.4,232.684193628
130,6,6,0.01,1.5,0.5,230.405090526
131,6,6,0.01,1.5,0.65,230.395252746
132,6,6,0.01,1.5,0.8,232.45824334799997
133,6,6,0.01,1.5,1.0,233.02515508199997
134,6,6,0.01,1.5,2.0,230.68204471200002
135,6,6,0.01,1.6,0.1,234.866832246
136,6,6,0.01,1.6,0.2,231.338473464
137,6,6,0.01,1.6,0.3,231.701143122
138,6,6,0.01,1.6,0.4,229.798007292
139,6,6,0.01,1.6,0.5,228.14153396400002
140,6,6,0.01,1.6,0.65,231.14885517000002
141,6,6,0.01,1.6,0.8,229.75155954599998
142,6,6,0.01,1.6,1.0,230.583608604
143,6,6,0.01,1.6,2.0,231.773265372
144,6,6,0.01,1.7,0.1,232.04339752200002
145,6,6,0.01,1.7,0.2,233.32759122
146,6,6,0.01,1.7,0.3,233.74373677199998
147,6,6,0.01,1.7,0.4,233.35731880799997
148,6,6,0.01,1.7,0.5,233.324346312
149,6,6,0.01,1.7,0.65,229.975625664
150,6,6,0.01,1.7,0.8,234.62891051999998
151,6,6,0.01,1.7,1.0,229.95698541
152,6,6,0.01,1.7,2.0,232.83955936199996
153,6,6,0.01,1.8,0.1,233.69811076200003
154,6,6,0.01,1.8,0.2,230.19520274400003
155,6,6,0.01,1.8,0.3,231.39850426200002
156,6,6,0.01,1.8,0.4,233.71825346400001
157,6,6,0.01,1.8,0.5,229.645792224
158,6,6,0.01,1.8,0.65,231.087470406
159,6,6,0.01,1.8,0.8,230.473037652
160,6,6,0.01,1.8,1.0,232.29472534200002
161,6,6,0.01,1.8,2.0,230.48656782
162,6,6,0.01,1.9,0.1,231.39261312
163,6,6,0.01,1.9,0.2,232.92174245400003
164,6,6,0.01,1.9,0.3,229.79586277800001
165,6,6,0.01,1.9,0.4,230.45534727599997
166,6,6,0.01,1.9,0.5,232.71128311800004
167,6,6,0.01,1.9,0.65,229.87184352600002
168,6,6,0.01,1.9,0.8,229.84373907
169,6,6,0.01,1.9,1.0,230.37378252
170,6,6,0.01,1.9,2.0,232.49020359
171,6,6,0.01,2.0,0.1,229.854930138
172,6,6,0.01,2.0,0.2,234.65580067800002
173,6,6,0.01,2.0,0.3,230.060416344
174,6,6,0.01,2.0,0.4,234.057182952
175,6,6,0.01,2.0,0.5,230.656155282
176,6,6,0.01,2.0,0.65,230.98872648600002
177,6,6,0.01,2.0,0.8,228.03989905199995
178,6,6,0.01,2.0,1.0,233.724799554
179,6,6,0.01,2.0,2.0,230.03965123800003
180,6,6,0.2,0.1,0.1,232.55312605799998
181,6,6,0.2,0.1,0.2,230.27526505200004
182,6,6,0.2,0.1,0.3,230.34381695400003
183,6,6,0.2,0.1,0.4,231.19392996599998
184,6,6,0.2,0.1,0.5,229.25890440599997
185,6,6,0.2,0.1,0.65,232.241195886
186,6,6,0.2,0.1,0.8,233.425735788
187,6,6,0.2,0.1,1.0,229.18735642200002
188,6,6,0.2,0.1,2.0,231.46751856
189,6,6,0.2,0.2,0.1,233.218941042
190,6,6,0.2,0.2,0.2,229.83290056200002
191,6,6,0.2,0.2,0.3,229.54804021799998
192,6,6,0.2,0.2,0.4,231.460750764
193,6,6,0.2,0.2,0.5,230.919634896
194,6,6,0.2,0.2,0.65,230.104697202
195,6,6,0.2,0.2,0.8,230.030116524
196,6,6,0.2,0.2,1.0,229.47289205399997
197,6,6,0.2,0.2,2.0,226.17831038399999
198,6,6,0.2,0.3,0.1,231.560957808
199,6,6,0.2,0.3,0.2,231.89030512200003
200,6,6,0.2,0.3,0.3,229.34869533600002
201,6,6,0.2,0.3,0.4,230.81529544199998
202,6,6,0.2,0.3,0.5,230.16888753
203,6,6,0.2,0.3,0.65,231.35152021800002
204,6,6,0.2,0.3,0.8,229.94311285199998
205,6,6,0.2,0.3,1.0,230.349788778
206,6,6,0.2,0.3,2.0,228.579793842
207,6,6,0.2,0.4,0.1,231.055968492
208,6,6,0.2,0.4,0.2,229.4376408
209,6,6,0.2,0.4,0.3,229.54962334799998
210,6,6,0.2,0.4,0.4,231.39248362199996
211,6,6,0.2,0.4,0.5,229.04418655199999
212,6,6,0.2,0.4,0.65,226.174270182
213,6,6,0.2,0.4,0.8,231.884816712
214,6,6,0.2,0.4,1.0,226.63223545200003
215,6,6,0.2,0.4,2.0,228.161598696
216,6,6,0.2,0.5,0.1,230.042506974
217,6,6,0.2,0.5,0.2,228.278781504
218,6,6,0.2,0.5,0.3,230.75630876399998
219,6,6,0.2,0.5,0.4,228.979307376
220,6,6,0.2,0.5,0.5,230.14154107799996
221,6,6,0.2,0.5,0.65,228.603075684
222,6,6,0.2,0.5,0.8,231.579861126
223,6,6,0.2,0.5,1.0,235.936981344
