,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1.0
0.005,6371,7149,7064,8483,8252,8833,8691,9775,9930,10089,9916,10380,11694,11895,12482,12784,13076,13335,13619,14631,14926,14468,15285,14464,14567,14933,15282,15029,15009,15447,15465,15905,15460,15623,15781,15583,15362,15450,15204,15563,15667,15573,15528,15866,15711,15352,15244,15684,15453,15661
0.01,11503,12255,13263,13421,14163,14292,14713,15475,14892,15039,14825,15187,15347,15560,15726,15599,15564,15338,15538,15225,15774,15773,15903,15663,15659,15727,15372,15516,15932,15565,15652,15662,15670,15829,15861,15931,15619,15229,15669,15561,15515,15485,15284,15553,15805,15693,15412,15609,15859,15326
0.015,15172,15063,15244,15541,15654,15783,15828,15520,15775,15589,15386,15853,15734,15440,15615,15444,15669,15512,16005,15734,15645,15290,15729,16039,15934,16059,15775,15859,15530,15524,15618,16020,15858,15700,15570,15379,15562,15863,15635,15669,15772,15364,16415,15406,15641,15634,15713,16137,15620,15996
0.02,15557,15689,15829,15980,15722,15621,15871,15792,15354,15269,15760,16031,15734,15890,15987,16055,15375,15768,15786,15621,15717,15879,16016,15793,15359,15751,15718,15639,15622,15774,15489,15696,15423,16234,15917,15778,15919,15514,15845,15944,15875,16147,15707,15864,15530,15760,15825,15516,15836,15366
0.025,15359,15878,15677,15889,15980,15723,15966,16129,16271,15656,15359,15943,15869,15839,15590,15588,15974,15585,15956,15753,16139,15552,15808,15791,15562,15654,15679,15886,15277,15852,15713,15445,16185,15610,15288,15121,16114,15513,15846,15923,15886,15922,15835,15755,15507,15819,16073,15718,15909,15618
0.03,15771,15831,15572,16013,15863,15850,16436,15893,15865,15494,15589,16047,16091,15846,15787,15978,15655,15415,16131,15993,15395,15754,15619,15825,15786,15885,15779,15740,15609,15849,15797,15967,16111,15959,15740,15993,15754,15818,15871,15701,15798,15669,15314,15854,15936,15877,15440,15854,16030,16045
0.035,15709,16224,16185,15709,15858,15641,16014,15587,15686,16096,15988,16037,15826,15798,15762,15612,15806,15897,16297,16072,15883,15890,15820,16041,16135,15912,15860,15684,16148,15795,15551,15665,16241,16004,15726,15909,15876,15941,16218,15756,15639,15432,15932,15861,15847,15690,16088,16189,15722,15234
0.04,15894,16263,15888,15995,15342,16228,15869,16002,16027,15897,15612,16116,16060,15827,15678,16016,15542,15858,15651,15747,15687,16029,15811,15708,15597,16188,15798,16075,16145,16124,15863,16017,15497,15713,15942,15458,15930,15726,15789,16051,15501,15760,15498,15252,15857,15808,15623,15924,15473,15816
0.045,15971,15813,15915,16004,15825,15955,16061,15998,15939,15817,16003,15921,16153,16114,15923,15769,15938,15849,15715,15903,16256,16258,15918,15680,15930,16087,15882,15854,15955,15980,15904,15618,15841,15561,15557,15901,15677,16158,16032,15295,15578,16110,15542,15856,16013,15470,15358,15868,15613,15645
