,L,max_stay_counter,m,n,quench,struc_count,ITC
116,6,6,0.01,1.3,2,75.96,234.40841
117,6,6,0.01,1.4,0.1,78.1,233.4946728
118,6,6,0.01,1.4,0.2,81.24,232.9589843
119,6,6,0.01,1.4,0.3,84.28,231.4069203
120,6,6,0.01,1.4,0.4,78.66,232.8921993
121,6,6,0.01,1.4,0.5,84.32,230.1829323
122,6,6,0.01,1.4,0.65,80.38,228.2580361
123,6,6,0.01,1.4,0.8,72.24,230.9735556
124,6,6,0.01,1.4,1,74.42,229.3080513
125,6,6,0.01,1.4,2,81.76,233.6899015
126,6,6,0.01,1.5,0.1,78.66,232.3575115
127,6,6,0.01,1.5,0.2,76.26,230.0104491
128,6,6,0.01,1.5,0.3,80.78,232.5931294
129,6,6,0.01,1.5,0.4,79.52,232.6841936
130,6,6,0.01,1.5,0.5,80.96,230.4050905
131,6,6,0.01,1.5,0.65,77.22,230.3952527
132,6,6,0.01,1.5,0.8,81.64,232.4582433
133,6,6,0.01,1.5,1,76.42,233.0251551
134,6,6,0.01,1.5,2,78.38,230.6820447
135,6,6,0.01,1.6,0.1,78.1,234.8668322
136,6,6,0.01,1.6,0.2,90.26,231.3384735
137,6,6,0.01,1.6,0.3,83.58,231.7011431
138,6,6,0.01,1.6,0.4,78.92,229.7980073
139,6,6,0.01,1.6,0.5,82.36,228.141534
140,6,6,0.01,1.6,0.65,78.3,231.1488552
141,6,6,0.01,1.6,0.8,73.38,229.7515595
142,6,6,0.01,1.6,1,81.28,230.5836086
143,6,6,0.01,1.6,2,77,231.7732654
144,6,6,0.01,1.7,0.1,78.5,232.0433975
145,6,6,0.01,1.7,0.2,72.72,233.3275912
146,6,6,0.01,1.7,0.3,80.94,233.7437368
147,6,6,0.01,1.7,0.4,73.02,233.3573188
148,6,6,0.01,1.7,0.5,85.78,233.3243463
149,6,6,0.01,1.7,0.65,76.62,229.9756257
150,6,6,0.01,1.7,0.8,85.18,234.6289105
151,6,6,0.01,1.7,1,81.34,229.9569854
152,6,6,0.01,1.7,2,83.82,232.8395594
153,6,6,0.01,1.8,0.1,80.28,233.6981108
154,6,6,0.01,1.8,0.2,80.18,230.1952027
155,6,6,0.01,1.8,0.3,79.3,231.3985043
156,6,6,0.01,1.8,0.4,77.68,233.7182535
157,6,6,0.01,1.8,0.5,80.26,229.6457922
158,6,6,0.01,1.8,0.65,74,231.0874704
159,6,6,0.01,1.8,0.8,77.6,230.4730377
160,6,6,0.01,1.8,1,78.62,232.2947253
161,6,6,0.01,1.8,2,80.9,230.4865678
162,6,6,0.01,1.9,0.1,78.54,231.3926131
163,6,6,0.01,1.9,0.2,75.8,232.9217425
164,6,6,0.01,1.9,0.3,74.94,229.7958628
165,6,6,0.01,1.9,0.4,80.48,230.4553473
166,6,6,0.01,1.9,0.5,75.88,232.7112831
167,6,6,0.01,1.9,0.65,79.9,229.8718435
168,6,6,0.01,1.9,0.8,82.66,229.8437391
169,6,6,0.01,1.9,1,78.2,230.3737825
170,6,6,0.01,1.9,2,76.72,232.4902036
171,6,6,0.01,2,0.1,78.04,229.8549301
172,6,6,0.01,2,0.2,77.56,234.6558007
173,6,6,0.01,2,0.3,80.86,230.0604163
174,6,6,0.01,2,0.4,76.8,234.057183
175,6,6,0.01,2,0.5,78.92,230.6561553
176,6,6,0.01,2,0.65,84.78,230.9887265
177,6,6,0.01,2,0.8,86.3,228.0398991
178,6,6,0.01,2,1,71.68,233.7247996
