,L,max_stay_counter,m,n,quench,ITC
0,6,6,0.01,0.1,0.1,52
1,6,6,0.01,0.1,0.2,43
2,6,6,0.01,0.1,0.3,33
3,6,6,0.01,0.1,0.4,47
4,6,6,0.01,0.1,0.5,46
5,6,6,0.01,0.1,0.65,45
6,6,6,0.01,0.1,0.8,43
7,6,6,0.01,0.1,1.0,38
8,6,6,0.01,0.1,2.0,77
9,6,6,0.01,0.2,0.1,39
10,6,6,0.01,0.2,0.2,52
11,6,6,0.01,0.2,0.3,40
12,6,6,0.01,0.2,0.4,48
13,6,6,0.01,0.2,0.5,43
14,6,6,0.01,0.2,0.65,45
15,6,6,0.01,0.2,0.8,59
16,6,6,0.01,0.2,1.0,31
17,6,6,0.01,0.2,2.0,68
18,6,6,0.01,0.3,0.1,48
19,6,6,0.01,0.3,0.2,42
20,6,6,0.01,0.3,0.3,40
21,6,6,0.01,0.3,0.4,35
22,6,6,0.01,0.3,0.5,46
23,6,6,0.01,0.3,0.65,51
24,6,6,0.01,0.3,0.8,44
25,6,6,0.01,0.3,1.0,40
26,6,6,0.01,0.3,2.0,50
27,6,6,0.01,0.4,0.1,52
28,6,6,0.01,0.4,0.2,50
29,6,6,0.01,0.4,0.3,56
30,6,6,0.01,0.4,0.4,45
31,6,6,0.01,0.4,0.5,42
32,6,6,0.01,0.4,0.65,48
33,6,6,0.01,0.4,0.8,54
34,6,6,0.01,0.4,1.0,44
35,6,6,0.01,0.4,2.0,58
36,6,6,0.01,0.5,0.1,49
37,6,6,0.01,0.5,0.2,51
38,6,6,0.01,0.5,0.3,56
39,6,6,0.01,0.5,0.4,49
40,6,6,0.01,0.5,0.5,58
41,6,6,0.01,0.5,0.65,53
42,6,6,0.01,0.5,0.8,53
43,6,6,0.01,0.5,1.0,59
44,6,6,0.01,0.5,2.0,53
45,6,6,0.01,0.6,0.1,51
46,6,6,0.01,0.6,0.2,42
47,6,6,0.01,0.6,0.3,69
48,6,6,0.01,0.6,0.4,49
49,6,6,0.01,0.6,0.5,50
50,6,6,0.01,0.6,0.65,58
51,6,6,0.01,0.6,0.8,38
52,6,6,0.01,0.6,1.0,49
53,6,6,0.01,0.6,2.0,38
54,6,6,0.01,0.7,0.1,59
55,6,6,0.01,0.7,0.2,43
56,6,6,0.01,0.7,0.3,67
57,6,6,0.01,0.7,0.4,51
58,6,6,0.01,0.7,0.5,52
59,6,6,0.01,0.7,0.65,43
60,6,6,0.01,0.7,0.8,46
61,6,6,0.01,0.7,1.0,60
62,6,6,0.01,0.7,2.0,58
63,6,6,0.01,0.8,0.1,59
64,6,6,0.01,0.8,0.2,59
65,6,6,0.01,0.8,0.3,73
66,6,6,0.01,0.8,0.4,72
67,6,6,0.01,0.8,0.5,59
68,6,6,0.01,0.8,0.65,49
69,6,6,0.01,0.8,0.8,39
70,6,6,0.01,0.8,1.0,58
71,6,6,0.01,0.8,2.0,51
72,6,6,0.01,0.9,0.1,69
73,6,6,0.01,0.9,0.2,57
74,6,6,0.01,0.9,0.3,43
75,6,6,0.01,0.9,0.4,45
76,6,6,0.01,0.9,0.5,39
77,6,6,0.01,0.9,0.65,42
78,6,6,0.01,0.9,0.8,52
79,6,6,0.01,0.9,1.0,52
80,6,6,0.01,0.9,2.0,52
81,6,6,0.01,1.0,0.1,56
82,6,6,0.01,1.0,0.2,58
83,6,6,0.01,1.0,0.3,41
84,6,6,0.01,1.0,0.4,43
85,6,6,0.01,1.0,0.5,54
86,6,6,0.01,1.0,0.65,47
87,6,6,0.01,1.0,0.8,47
88,6,6,0.01,1.0,1.0,49
89,6,6,0.01,1.0,2.0,45
90,6,6,0.01,1.1,0.1,54
91,6,6,0.01,1.1,0.2,36
92,6,6,0.01,1.1,0.3,59
93,6,6,0.01,1.1,0.4,53
94,6,6,0.01,1.1,0.5,58
95,6,6,0.01,1.1,0.65,66
96,6,6,0.01,1.1,0.8,58
97,6,6,0.01,1.1,1.0,44
98,6,6,0.01,1.1,2.0,57
99,6,6,0.01,1.2,0.1,54
100,6,6,0.01,1.2,0.2,57
101,6,6,0.01,1.2,0.3,48
102,6,6,0.01,1.2,0.4,60
103,6,6,0.01,1.2,0.5,74
104,6,6,0.01,1.2,0.65,47
105,6,6,0.01,1.2,0.8,48
106,6,6,0.01,1.2,1.0,58
107,6,6,0.01,1.2,2.0,55
108,6,6,0.01,1.3,0.1,49
109,6,6,0.01,1.3,0.2,48
110,6,6,0.01,1.3,0.3,42
111,6,6,0.01,1.3,0.4,64
112,6,6,0.01,1.3,0.5,52
113,6,6,0.01,1.3,0.65,52
114,6,6,0.01,1.3,0.8,50
115,6,6,0.01,1.3,1.0,35
116,6,6,0.01,1.3,2.0,58
117,6,6,0.01,1.4,0.1,50
118,6,6,0.01,1.4,0.2,49
119,6,6,0.01,1.4,0.3,39
120,6,6,0.01,1.4,0.4,53
121,6,6,0.01,1.4,0.5,46
122,6,6,0.01,1.4,0.65,52
123,6,6,0.01,1.4,0.8,48
124,6,6,0.01,1.4,1.0,44
125,6,6,0.01,1.4,2.0,49
126,6,6,0.01,1.5,0.1,46
127,6,6,0.01,1.5,0.2,47
128,6,6,0.01,1.5,0.3,46
129,6,6,0.01,1.5,0.4,47
130,6,6,0.01,1.5,0.5,48
131,6,6,0.01,1.5,0.65,44
132,6,6,0.01,1.5,0.8,45
133,6,6,0.01,1.5,1.0,52
134,6,6,0.01,1.5,2.0,51
135,6,6,0.01,1.6,0.1,41
136,6,6,0.01,1.6,0.2,49
137,6,6,0.01,1.6,0.3,55
138,6,6,0.01,1.6,0.4,53
139,6,6,0.01,1.6,0.5,56
140,6,6,0.01,1.6,0.65,31
141,6,6,0.01,1.6,0.8,49
142,6,6,0.01,1.6,1.0,52
143,6,6,0.01,1.6,2.0,62
144,6,6,0.01,1.7,0.1,44
145,6,6,0.01,1.7,0.2,50
146,6,6,0.01,1.7,0.3,40
147,6,6,0.01,1.7,0.4,48
148,6,6,0.01,1.7,0.5,40
149,6,6,0.01,1.7,0.65,45
150,6,6,0.01,1.7,0.8,37
151,6,6,0.01,1.7,1.0,54
152,6,6,0.01,1.7,2.0,55
153,6,6,0.01,1.8,0.1,45
154,6,6,0.01,1.8,0.2,56
155,6,6,0.01,1.8,0.3,48
156,6,6,0.01,1.8,0.4,47
157,6,6,0.01,1.8,0.5,49
158,6,6,0.01,1.8,0.65,49
159,6,6,0.01,1.8,0.8,41
160,6,6,0.01,1.8,1.0,42
161,6,6,0.01,1.8,2.0,68
162,6,6,0.01,1.9,0.1,41
163,6,6,0.01,1.9,0.2,43
164,6,6,0.01,1.9,0.3,49
165,6,6,0.01,1.9,0.4,63
166,6,6,0.01,1.9,0.5,56
167,6,6,0.01,1.9,0.65,66
168,6,6,0.01,1.9,0.8,36
169,6,6,0.01,1.9,1.0,55
170,6,6,0.01,1.9,2.0,47
171,6,6,0.01,2.0,0.1,54
172,6,6,0.01,2.0,0.2,49
173,6,6,0.01,2.0,0.3,44
174,6,6,0.01,2.0,0.4,52
175,6,6,0.01,2.0,0.5,43
176,6,6,0.01,2.0,0.65,42
177,6,6,0.01,2.0,0.8,53
178,6,6,0.01,2.0,1.0,56
179,6,6,0.01,2.0,2.0,59
180,6,6,0.2,0.1,0.1,56
181,6,6,0.2,0.1,0.2,46
182,6,6,0.2,0.1,0.3,53
183,6,6,0.2,0.1,0.4,46
