,L,max_stay_counter,m,n,quench,ITC
0,6,6,0.01,0.1,0.1,205
1,6,6,0.01,0.1,0.2,177
2,6,6,0.01,0.1,0.3,246
3,6,6,0.01,0.1,0.4,251
4,6,6,0.01,0.1,0.5,222
5,6,6,0.01,0.1,0.65,217
6,6,6,0.01,0.1,0.8,246
7,6,6,0.01,0.1,1.0,226
8,6,6,0.01,0.1,2.0,273
9,6,6,0.01,0.2,0.1,234
10,6,6,0.01,0.2,0.2,232
11,6,6,0.01,0.2,0.3,219
12,6,6,0.01,0.2,0.4,219
13,6,6,0.01,0.2,0.5,235
14,6,6,0.01,0.2,0.65,248
15,6,6,0.01,0.2,0.8,227
16,6,6,0.01,0.2,1.0,217
17,6,6,0.01,0.2,2.0,295
18,6,6,0.01,0.3,0.1,181
19,6,6,0.01,0.3,0.2,230
20,6,6,0.01,0.3,0.3,217
21,6,6,0.01,0.3,0.4,232
22,6,6,0.01,0.3,0.5,221
23,6,6,0.01,0.3,0.65,263
24,6,6,0.01,0.3,0.8,204
25,6,6,0.01,0.3,1.0,241
26,6,6,0.01,0.3,2.0,262
27,6,6,0.01,0.4,0.1,214
28,6,6,0.01,0.4,0.2,214
29,6,6,0.01,0.4,0.3,226
30,6,6,0.01,0.4,0.4,207
31,6,6,0.01,0.4,0.5,260
32,6,6,0.01,0.4,0.65,210
33,6,6,0.01,0.4,0.8,254
34,6,6,0.01,0.4,1.0,235
35,6,6,0.01,0.4,2.0,243
36,6,6,0.01,0.5,0.1,221
37,6,6,0.01,0.5,0.2,275
38,6,6,0.01,0.5,0.3,262
39,6,6,0.01,0.5,0.4,237
40,6,6,0.01,0.5,0.5,205
41,6,6,0.01,0.5,0.65,248
42,6,6,0.01,0.5,0.8,204
43,6,6,0.01,0.5,1.0,255
44,6,6,0.01,0.5,2.0,284
45,6,6,0.01,0.6,0.1,243
46,6,6,0.01,0.6,0.2,234
47,6,6,0.01,0.6,0.3,219
48,6,6,0.01,0.6,0.4,182
49,6,6,0.01,0.6,0.5,199
50,6,6,0.01,0.6,0.65,242
51,6,6,0.01,0.6,0.8,222
52,6,6,0.01,0.6,1.0,274
53,6,6,0.01,0.6,2.0,254
54,6,6,0.01,0.7,0.1,245
55,6,6,0.01,0.7,0.2,219
56,6,6,0.01,0.7,0.3,223
57,6,6,0.01,0.7,0.4,189
58,6,6,0.01,0.7,0.5,251
59,6,6,0.01,0.7,0.65,226
60,6,6,0.01,0.7,0.8,210
61,6,6,0.01,0.7,1.0,210
62,6,6,0.01,0.7,2.0,255
63,6,6,0.01,0.8,0.1,165
64,6,6,0.01,0.8,0.2,207
65,6,6,0.01,0.8,0.3,213
66,6,6,0.01,0.8,0.4,214
67,6,6,0.01,0.8,0.5,253
68,6,6,0.01,0.8,0.65,255
69,6,6,0.01,0.8,0.8,254
70,6,6,0.01,0.8,1.0,206
71,6,6,0.01,0.8,2.0,247
72,6,6,0.01,0.9,0.1,221
73,6,6,0.01,0.9,0.2,217
74,6,6,0.01,0.9,0.3,212
75,6,6,0.01,0.9,0.4,234
76,6,6,0.01,0.9,0.5,220
77,6,6,0.01,0.9,0.65,225
78,6,6,0.01,0.9,0.8,243
79,6,6,0.01,0.9,1.0,221
80,6,6,0.01,0.9,2.0,250
81,6,6,0.01,1.0,0.1,233
82,6,6,0.01,1.0,0.2,215
83,6,6,0.01,1.0,0.3,230
84,6,6,0.01,1.0,0.4,215
85,6,6,0.01,1.0,0.5,193
86,6,6,0.01,1.0,0.65,195
87,6,6,0.01,1.0,0.8,254
88,6,6,0.01,1.0,1.0,200
89,6,6,0.01,1.0,2.0,237
90,6,6,0.01,1.1,0.1,200
91,6,6,0.01,1.1,0.2,209
92,6,6,0.01,1.1,0.3,232
93,6,6,0.01,1.1,0.4,240
94,6,6,0.01,1.1,0.5,206
95,6,6,0.01,1.1,0.65,244
96,6,6,0.01,1.1,0.8,232
97,6,6,0.01,1.1,1.0,217
98,6,6,0.01,1.1,2.0,256
99,6,6,0.01,1.2,0.1,239
100,6,6,0.01,1.2,0.2,248
101,6,6,0.01,1.2,0.3,260
102,6,6,0.01,1.2,0.4,220
103,6,6,0.01,1.2,0.5,217
104,6,6,0.01,1.2,0.65,219
105,6,6,0.01,1.2,0.8,226
106,6,6,0.01,1.2,1.0,218
107,6,6,0.01,1.2,2.0,226
108,6,6,0.01,1.3,0.1,229
109,6,6,0.01,1.3,0.2,231
110,6,6,0.01,1.3,0.3,241
111,6,6,0.01,1.3,0.4,221
112,6,6,0.01,1.3,0.5,235
113,6,6,0.01,1.3,0.65,234
114,6,6,0.01,1.3,0.8,251
115,6,6,0.01,1.3,1.0,231
116,6,6,0.01,1.3,2.0,244
117,6,6,0.01,1.4,0.1,233
118,6,6,0.01,1.4,0.2,234
119,6,6,0.01,1.4,0.3,212
120,6,6,0.01,1.4,0.4,264
121,6,6,0.01,1.4,0.5,237
122,6,6,0.01,1.4,0.65,247
123,6,6,0.01,1.4,0.8,256
124,6,6,0.01,1.4,1.0,227
125,6,6,0.01,1.4,2.0,217
126,6,6,0.01,1.5,0.1,208
127,6,6,0.01,1.5,0.2,182
128,6,6,0.01,1.5,0.3,230
129,6,6,0.01,1.5,0.4,192
130,6,6,0.01,1.5,0.5,237
131,6,6,0.01,1.5,0.65,220
132,6,6,0.01,1.5,0.8,216
133,6,6,0.01,1.5,1.0,224
134,6,6,0.01,1.5,2.0,234
135,6,6,0.01,1.6,0.1,255
136,6,6,0.01,1.6,0.2,218
137,6,6,0.01,1.6,0.3,217
138,6,6,0.01,1.6,0.4,222
139,6,6,0.01,1.6,0.5,231
140,6,6,0.01,1.6,0.65,227
141,6,6,0.01,1.6,0.8,218
142,6,6,0.01,1.6,1.0,224
143,6,6,0.01,1.6,2.0,187
144,6,6,0.01,1.7,0.1,258
145,6,6,0.01,1.7,0.2,224
146,6,6,0.01,1.7,0.3,243
147,6,6,0.01,1.7,0.4,235
