,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1.0
0.005,7287,7871,8309,8340,9572,9147,9994,10519,11405,11282,12075,11154,12361,12640,13472,13792,14216,14220,14815,15362,15292,16158,16009,16067,15361,16405,15742,16117,16038,15816,16812,15728,16723,15883,16397,16665,16464,16559,16218,16352,16436,16412,16504,15980,17201,16010,16676,16587,15641,16498
0.01,12445,14027,14778,15272,15131,15774,15541,16150,15688,15944,16092,16522,15778,16205,16879,16055,16452,16047,16648,16572,16335,16763,16819,16014,16490,16416,15936,16498,15982,16467,16793,16243,16699,16602,16790,16234,16852,16632,17114,16759,16365,16697,16758,16712,16951,16873,17111,16463,16508,17431
0.015,15452,15438,15672,16295,16532,17125,16229,16407,16794,16530,16320,16742,15743,15997,16723,16289,16500,15938,16871,16106,16294,16743,16594,16875,16614,16431,16623,16619,16801,16301,16577,16994,17067,17077,16581,15925,16948,16940,17285,16864,16321,16633,16269,15997,17170,17125,16461,16550,17650,16800
0.02,16829,16292,15812,16336,16341,16745,16219,16182,17031,16835,16918,16983,15795,16210,15912,16486,16320,17162,16610,17105,16914,16490,16054,16669,16423,15988,16781,16864,16471,17125,16848,16674,16849,16867,15671,16237,16981,16568,16286,17217,16283,16490,17280,16596,16819,17220,16465,16968,16070,16757
0.025,16647,16738,16558,16716,17123,16837,16094,16733,16771,16148,16665,16271,16402,16942,16749,16295,16998,16435,17053,16821,15846,17054,16687,17044,17004,16779,17120,16448,16427,16789,17517,16356,16696,16572,16907,16140,16894,15984,16515,16594,16615,16748,16584,16953,17380,16741,16812,16453,16082,17018
0.03,16680,16334,16232,16816,16937,16851,16235,16878,16541,16362,16313,16852,16853,16888,16174,16522,16331,16343,17119,16447,16130,16997,17177,16658,16909,16349,17192,16441,16689,16190,16833,16716,16053,17019,17100,16438,16952,16825,16540,16926,17124,16910,16759,16138,16771,16981,17019,17105,16492,16753
0.035,16131,16911,16621,16104,16790,16100,16857,16769,16569,16184,16419,17118,17118,16492,16324,16778,16253,16602,16888,15842,16320,16848,16704,16750,16307,16445,16140,16583,16753,16745,16968,16908,16514,16489,16796,17039,17028,16531,16661,16953,16845,17338,16939,17189,17052,17336,16701,16732,16325,16548
0.04,16377,16552,16652,16751,16629,16657,16459,17015,16996,16777,16979,17248,16712,16532,16412,17144,17016,16653,16551,16623,16823,16449,16446,16429,16769,16009,16862,16766,16749,16468,16741,16990,16843,17032,17082,16340,16672,17045,16369,16888,16399,17279,16725,16634,16893,16529,16922,16789,16983,16693
0.045,16031,16733,16545,16470,16867,16815,16386,16949,16606,16184,17064,16539,16755,16748,16484,16477,16540,16565,16271,16984,17083,17007,16389,16332,16713,16948,17317,15998,16867,16960,17000,16586,16951,17243,17713,17141,17010,17141,16902,16580,16943,17104,17041,16780,16803,16949,16569,16872,16698,17395
